scenario_index,start,destination,preference,time_budget,solver,reward,optimal_reward,optimality_gap_percent,travel_minutes,study_minutes,total_minutes,visited_count,feasible,study_plan,deadline_slack_minutes,direct_travel_minutes,walking_detour_minutes,walking_detour_percent,runtime_ms,runtime_mean_ms,runtime_p95_ms,runtime_std_ms,timing_repeats,order_seed,route
26,Rodin College House,Moore School Building,Power outlets,60.0,greedy_reward_per_minute,19.8,22.0,10.0,16.0529,40.0,56.0529,2,True,True,3.9471,12.2657,3.7872,30.8763,0.0111,0.011,0.0113,0.0001,10,2026,Rodin College House -> Levine Hall -> Towne Building -> Moore School Building
26,Rodin College House,Moore School Building,Power outlets,60.0,nearest,19.8,22.0,10.0,13.8432,45.0,58.8432,2,True,True,1.1568,12.2657,1.5775,12.8611,0.0089,0.0089,0.0092,0.0002,10,2026,Rodin College House -> Huntsman Hall -> Van Pelt Library -> Moore School Building
27,Rodin College House,Moore School Building,Power outlets,90.0,exact_dynamic_programming,33.0,33.0,0.0,18.5021,70.0,88.5021,3,True,True,1.4979,12.2657,6.2364,50.8442,0.2529,0.2542,0.2673,0.0048,10,2026,Rodin College House -> Holman Biotech Commons -> Van Pelt Library -> Levine Hall -> Moore School Building
27,Rodin College House,Moore School Building,Power outlets,90.0,greedy_reward_per_minute,30.8,33.0,6.6667,22.2618,65.0,87.2618,3,True,True,2.7382,12.2657,9.9961,81.4964,0.0166,0.0165,0.017,0.0004,10,2026,Rodin College House -> Levine Hall -> Towne Building -> Van Pelt Library -> Moore School Building
27,Rodin College House,Moore School Building,Power outlets,90.0,nearest,28.6,33.0,13.3333,15.5778,70.0,85.5778,3,True,True,4.4222,12.2657,3.3121,27.0029,0.0108,0.0109,0.0114,0.0003,10,2026,Rodin College House -> Huntsman Hall -> Van Pelt Library -> Fisher Fine Arts Library -> Moore School Building
28,Rodin College House,Moore School Building,No preference,45.0,exact_dynamic_programming,9.0,9.0,0.0,12.7198,25.0,37.7198,1,True,True,7.2802,12.2657,0.4541,3.7022,0.1429,0.1437,0.1501,0.0024,10,2026,Rodin College House -> Van Pelt Library -> Moore School Building
28,Rodin College House,Moore School Building,No preference,45.0,greedy_reward_per_minute,8.3,9.0,7.7778,12.7948,20.0,32.7948,1,True,True,12.2052,12.2657,0.5291,4.3137,0.0092,0.0092,0.0098,0.0003,10,2026,Rodin College House -> Huntsman Hall -> Moore School Building
28,Rodin College House,Moore School Building,No preference,45.0,nearest,8.3,9.0,7.7778,12.7948,20.0,32.7948,1,True,True,12.2052,12.2657,0.5291,4.3137,0.007,0.0069,0.0071,0.0001,10,2026,Rodin College House -> Huntsman Hall -> Moore School Building
29,Rodin College House,Moore School Building,No preference,60.0,exact_dynamic_programming,17.5,17.5,0.0,13.9683,45.0,58.9683,2,True,True,1.0317,12.2657,1.7026,13.881,0.1623,0.1734,0.2035,0.0173,10,2026,Rodin College House -> Van Pelt Library -> Levine Hall -> Moore School Building
29,Rodin College House,Moore School Building,No preference,60.0,greedy_reward_per_minute,16.8,17.5,4.0,14.0432,40.0,54.0432,2,True,True,5.9568,12.2657,1.7775,14.4916,0.0138,0.014,0.0149,0.0005,10,2026,Rodin College House -> Huntsman Hall -> Levine Hall -> Moore School Building
29,Rodin College House,Moore School Building,No preference,60.0,nearest,17.3,17.5,1.1429,13.8432,45.0,58.8432,2,True,True,1.1568,12.2657,1.5775,12.8611,0.01,0.0101,0.0108,0.0003,10,2026,Rodin College House -> Huntsman Hall -> Van Pelt Library -> Moore School Building
30,Rodin College House,Moore School Building,No preference,90.0,exact_dynamic_programming,26.5,26.5,0.0,18.5021,70.0,88.5021,3,True,True,1.4979,12.2657,6.2364,50.8442,0.2494,0.2492,0.2518,0.002,10,2026,Rodin College House -> Holman Biotech Commons -> Van Pelt Library -> Levine Hall -> Moore School Building
30,Rodin College House,Moore School Building,No preference,90.0,greedy_reward_per_minute,23.6,26.5,10.9434,16.582,60.0,76.582,3,True,True,13.418,12.2657,4.3163,35.19,0.0162,0.0162,0.0166,0.0002,10,2026,Rodin College House -> Huntsman Hall -> Levine Hall -> Towne Building -> Moore School Building
30,Rodin College House,Moore School Building,No preference,90.0,nearest,24.6,26.5,7.1698,15.5778,70.0,85.5778,3,True,True,4.4222,12.2657,3.3121,27.0029,0.0107,0.0107,0.011,0.0002,10,2026,Rodin College House -> Huntsman Hall -> Van Pelt Library -> Fisher Fine Arts Library -> Moore School Building
31,Rodin College House,Levine Hall,Quiet,45.0,exact_dynamic_programming,11.0,11.0,0.0,12.3124,25.0,37.3124,1,True,True,7.6876,11.8582,0.4542,3.8303,0.0708,0.0709,0.0726,0.0007,10,2026,Rodin College House -> Van Pelt Library -> Levine Hall
31,Rodin College House,Levine Hall,Quiet,45.0,greedy_reward_per_minute,11.0,11.0,0.0,12.3124,25.0,37.3124,1,True,True,7.6876,11.8582,0.4542,3.8303,0.0086,0.0086,0.0089,0.0002,10,2026,Rodin College House -> Van Pelt Library -> Levine Hall
